Coo_tpi,Coo_app,Roo_outward,productCode,reporter,FtaScope,Roo_packaging,Roo_fungible,FtaCode,Roo_exhibitions,Roo_wo,FtaName,Coo_valid,Coo_comp,Roo_indir,RooCode_1,Coo_exmptcoo,RooText_1,Roo_demin,Coo_pen,FtaId,RooCode_0,Coo_err,Roo_rvcformula,Coo_ver,Roo_accum,Coo_refund,Preferential,RooText_0,FtaType,partner,Roo_trans,Coo_coo,Coo_retention,FtaStatusDate,rank,Roo_sets,MFN,Roo_mo,Roo_draw,Coo_sup,Roo_roll,Roo_accessories,Roo_terr,Coo_adv,ProductAffected_0,Coo_approved,ProductAffected_1,FtaStatusDesc
,,,8703900000,702,,,,,,,,,,,,,,,,94,,,,,,,,,,116,,,,,5,,,,,,,,,,,,,
,,,8703900000,702,,,,,,,,,,,,,,,,852,,,,,,,,,,036,,,,,1,,,,,,,,,,,,,
,,,8703900000,826,,,,,,,,,,,,,,,,969,,,,,,,,,,352,,,,,1,,,,,,,,,,,,,
,,,8703900000,496,,,,,,,,,,,,,,,,68,,,,,,,,,,144,,,,,2,,,,,,,,,,,,,
not provided,not provided,included,8703900000,792,"Plurilateral, Country-Group",included,materials only,ITC00362,included,provided,"FTA, EFTA-Turkey",4 months,not provided,included,,included (less than EUR 500),,included (10%),provided,356,RVC 60%,provided,import content,Indirect,cross-cumulation,included,,Manufacture in which the value of all the materials used does not exceed 40 % of the ex-works price of the product,Free trade agreement,757,included,authorized body,3 years,01.04.1992,2,included (RVC 85%),,provided,prohibition,provided,included,included,included,not provided,,included,,IN FORCE
,,,8703900000,418,,,,,,,,,,,,,,,,94,,,,,,,,,,410,,,,,4,,,,,,,,,,,,,
,,,8703900000,702,,,,,,,,,,,,,,,,139,,,,,,,,,,458,,,,,3,,,,,,,,,,,,,
,,,8703900000,458,,,,,,,,,,,,,,,,139,,,,,,,,,,360,,,,,1,,,,,,,,,,,,,
,,,8703900000,496,,,,,,,,,,,,,,,,68,,,,,,,,,,496,,,,,3,,,,,,,,,,,,,
,,,8703900000,608,,,,,,,,,,,,,,,,197,,,,,,,,,,360,,,,,1,,,,,,,,,,,,,
,,,8703900000,704,,,,,,,,,,,,,,,,139,,,,,,,,,,116,,,,,5,,,,,,,,,,,,,
,,,8703900000,484,,,,,,,,,,,,,,,,342,,,,,,,,,,352,,,,,1,,,,,,,,,,,,,
,,,8703900000,818,,,,,,,,,,,,,,,,873,,,,,,,,,,144,,,,,2,,,,,,,,,,,,,
,,,8703900000,600,,,,,,,,,,,,,,,,48,,,,,,,,,,032,,,,,1,,,,,,,,,,,,,
,,,8703900000,858,,,,,,,,,,,,,,,,633,,,,,,,,,,076,,,,,1,,,,,,,,,,,,,
,,,8703900000,704,,,,,,,,,,,,,,,,197,,,,,,,,,,104,,,,,2,,,,,,,,,,,,,
,,,8703900000,608,,,,,,,,,,,,,,,,139,,,,,,,,,,392,,,,,1,,,,,,,,,,,,,
,,,8703900000,702,,,,,,,,,,,,,,,,197,,,,,,,,,,608,,,,,1,,,,,,,,,,,,,
,,,8703900000,704,,,,,,,,,,,,,,,,94,,,,,,,,,,458,,,,,3,,,,,,,,,,,,,
,,,8703900000,704,,,,,,,,,,,,,,,,199,,,,,,,,,,116,,,,,3,,,,,,,,,,,,,
,,,8703900000,144,,,,,,,,,,,,,,,,68,,,,,,,,,,144,,,,,1,,,,,,,,,,,,,
,,,8703900000,858,,,,,,,,,,,,,,,,633,,,,,,,,,,192,,,,,1,,,,,,,,,,,,,
,,,8703900000,702,,,,,,,,,,,,,,,,199,,,,,,,,,,096,,,,,4,,,,,,,,,,,,,
,,,8703900000,116,,,,,,,,,,,,,,,,94,,,,,,,,,,104,,,,,4,,,,,,,,,,,,,
,,,8703900000,600,,,,,,,,,,,,,,,,605,,,,,,,,,,032,,,,,1,,,,,,,,,,,,,
not provided,not provided,not included,8703900000,050,"Plurilateral, Country-Country",included,not included,ITC00069,included,provided,APTA (formerly Bangkok Agreement),1 year,provided,not included,,not included,,not included,not provided,68,RVC 45% (35% for APTA LDCs),provided,import content,Indirect,diagonal,not included,,"(a) Within the meaning of Rule 1(b), products worked on or processed as a result of which the total value of the materials, parts or produce originating from nonParticipating States or of undetermined origin used does not exceed 55 per cent of the f.o.b. value of the products produced or obtained and the final process of manufacture is performed within the territory of the exporting Participating State shall be eligible for preferential concessions, subject to the provisions of Rule 3(c), (d) and (e). RULE 10: Special criteria percentage Products originating in least developed Participating States can be allowed a favorable 10 percentage points applied to the percentages established in Rules 3 and 4. Thus, for Rule 3, the percentage would not exceed 65 percent, and for Rule 4, the percentage would not be less than 50 percent.",Partial scope agreement,496,included,authorized body,2 years,01.01.2021,4,not included,,provided,not included,provided,not included,not included,not included,not provided,,not included,,IN FORCE
,,,8703900000,458,,,,,,,,,,,,,,,,94,,,,,,,,,,418,,,,,1,,,,,,,,,,,,,
,,,8703900000,438,,,,,,,,,,,,,,,,124,,,,,,,,,,352,,,,,1,,,,,,,,,,,,,
,,,8703900000,604,,,,,,,,,,,,,,,,633,,,,,,,,,,192,,,,,2,,,,,,,,,,,,,
,,,8703900000,608,,,,,,,,,,,,,,,,199,,,,,,,,,,360,,,,,3,,,,,,,,,,,,,
,,,8703900000,496,,,,,,,,,,,,,,,,68,,,,,,,,,,156,,,,,1,,,,,,,,,,,,,
,,,8703900000,608,,,,,,,,,,,,,,,,139,,,,,,,,,,360,,,,,5,,,,,,,,,,,,,
,,,8703900000,579,,,,,,,,,,,,,,,,356,,,,,,,,,,438,,,,,1,,,,,,,,,,,,,
,,,8703900000,704,,,,,,,,,,,,,,,,94,,,,,,,,,,608,,,,,5,,,,,,,,,,,,,
,,,8703900000,764,,,,,,,,,,,,,,,,94,,,,,,,,,,418,,,,,1,,,,,,,,,,,,,
,,,8703900000,050,,,,,,,,,,,,,,,,68,,,,,,,,,,410,,,,,3,,,,,,,,,,,,,
,,,8703900000,410,,,,,,,,,,,,,,,,94,,,,,,,,,,096,,,,,4,,,,,,,,,,,,,
,,,8703900000,702,,,,,,,,,,,,,,,,139,,,,,,,,,,096,,,,,2,,,,,,,,,,,,,
